等级	玩家升级经验	防御参数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
level	exp	defC	roleUpGradeCost	roleUpGradeReturn	exploreTask	dragonAtk	altar1	altar2	altar3	altar4	goldAward	positionAward	diggingMax	worldChatCount	moduleopen	guideIndex	sr_playerLv	sr_destinyLv
Int	Int	Int	Award	Award	Int	Int	Int	Int	Int	Int	Int	Award	Int	Int	Strings	Int	Int	Int
1	10	404	user.hero_exp:-40	user.hero_exp:0	10	2000	100	100	100	100	100	user.salary:50	240	0	exploreMonster|altar1|altar4	0	60	1
2	10	421.77777778	user.hero_exp:-60	user.hero_exp:40	10	2000	100	100	100	100	100	user.salary:50	240	0	exploreMonster|altar1|altar4	0	60	1
3	20	439.55555556	user.hero_exp:-80	user.hero_exp:100	10	2000	100	100	100	100	100	user.salary:50	240	0	altar1|altar4|legion	0	60	1
4	30	457.33333333	user.hero_exp:-110	user.hero_exp:180	10	2000	100	100	100	100	100	user.salary:50	240	0	altar1|altar4|legion	0	60	1
5	30	475.11111111	user.hero_exp:-150	user.hero_exp:290	10	2000	100	100	100	100	100	user.salary:50	240	0	altar1|altar4|legion	0	60	1
6	50	492.88888889	user.hero_exp:-190	user.hero_exp:440	10	2000	100	100	100	100	100	user.salary:50	240	0	altar4|legion|war_college	0	60	1
7	60	510.66666667	user.hero_exp:-230	user.hero_exp:630	10	2000	100	100	100	100	100	user.salary:50	240	0	altar4|legion|war_college	0	60	1
8	80	528.44444444	user.hero_exp:-270	user.hero_exp:860	10	2000	100	100	100	100	100	user.salary:50	240	0	altar4|legion|war_college	0	60	1
9	90	546.22222222	user.hero_exp:-320	user.hero_exp:1130	10	2000	100	100	100	100	100	user.salary:50	240	0	altar4|legion|war_college	0	60	1
10	90	672	user.hero_exp:-380	user.hero_exp:1450	10	2000	100	100	100	100	100	user.salary:50	240	60	altar4|legion|war_college	0	60	1
11	100	704	user.hero_exp:-440	user.hero_exp:1830	10	2000	100	100	100	100	100	user.salary:50	240	60	legion|war_college|part	0	60	1
12	110	736	user.hero_exp:-500	user.hero_exp:2270	10	2000	100	100	100	100	100	user.salary:50	240	60	legion|war_college|part	0	60	1
13	110	768	user.hero_exp:-570	user.hero_exp:2770	10	2000	100	100	100	100	100	user.salary:50	240	60	legion|war_college|part	0	60	1
14	120	800	user.hero_exp:-640	user.hero_exp:3340	10	2000	100	100	100	100	100	user.salary:50	240	60	legion|war_college|part	0	60	1
15	140	832	user.hero_exp:-750	user.hero_exp:3980	10	2000	100	100	100	100	100	user.salary:50	240	60	legion|war_college|part	0	60	1
16	150	864	user.hero_exp:-830	user.hero_exp:4730	10	2400	100	100	100	100	100	user.salary:50	240	60	war_college|part|altar2	0	60	1
17	150	896	user.hero_exp:-920	user.hero_exp:5560	10	2400	100	100	100	100	100	user.salary:50	240	60	war_college|part|altar2	0	60	1
18	170	928	user.hero_exp:-1000	user.hero_exp:6480	10	2400	100	100	100	100	100	user.salary:50	240	60	war_college|part|altar2	0	60	1
19	180	960	user.hero_exp:-1100	user.hero_exp:7480	10	2400	100	100	100	100	100	user.salary:50	240	60	war_college|part|altar2	0	60	1
20	3100	1056	user.hero_exp:-1300	user.hero_exp:8580	10	2400	100	100	100	100	100	user.salary:50	240	70	war_college|part|altar2	0	60	1
21	3100	1104	user.hero_exp:-1400	user.hero_exp:9880	10	2850	100	100	100	100	100	user.salary:50	240	70	part|altar2|team	0	60	1
22	3100	1152	user.hero_exp:-1500	user.hero_exp:11280	10	2800	100	100	100	100	100	user.salary:50	240	70	part|altar2|team	0	60	1
23	3200	1200	user.hero_exp:-1600	user.hero_exp:12780	10	2800	100	100	100	100	100	user.salary:50	240	70	part|altar2|team	0	60	1
24	3200	1248	user.hero_exp:-1800	user.hero_exp:14380	10	2800	100	100	100	100	100	user.salary:50	240	70	part|altar2|team	0	60	1
25	3300	1296	user.hero_exp:-1900	user.hero_exp:16180	10	2800	100	100	100	100	100	user.salary:50	260	70	part|altar2|team	0	60	1
26	3300	1344	user.hero_exp:-2100	user.hero_exp:18080	10	2800	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
27	3400	1392	user.hero_exp:-2200	user.hero_exp:20180	10	2800	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
28	3500	1440	user.hero_exp:-2400	user.hero_exp:22380	10	2800	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
29	3500	1488	user.hero_exp:-2600	user.hero_exp:24780	10	2800	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
30	3600	1536	user.hero_exp:-2600	user.hero_exp:27380	10	2900	100	100	100	100	100	user.salary:50	280	80	altar2|team|mine_digging	0	60	1
31	3700	1600	user.hero_exp:-2700	user.hero_exp:29980	10	3000	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|mine_trial	0	60	1
32	3700	1664	user.hero_exp:-2800	user.hero_exp:32680	10	3050	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|mine_trial	0	60	1
33	3800	1728	user.hero_exp:-2800	user.hero_exp:35480	10	3150	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|mine_trial	0	60	1
34	3800	1792	user.hero_exp:-2900	user.hero_exp:38280	10	3250	100	100	100	100	100	user.salary:50	280	80	team|mine_digging|mine_trial	0	60	1
35	4100	1856	user.hero_exp:-3300	user.hero_exp:41180	10	3600	100	100	100	100	100	user.salary:50	300	80	team|mine_digging|mine_trial	0	60	1
36	4200	1920	user.hero_exp:-3500	user.hero_exp:44480	10	3700	100	100	100	100	100	user.salary:50	300	80	mine_digging|mine_trial|exploreTask	0	60	1
37	4500	1984	user.hero_exp:-3800	user.hero_exp:47980	10	3800	100	100	100	100	100	user.salary:50	300	80	mine_digging|mine_trial|exploreTask	0	60	1
38	4700	2048	user.hero_exp:-4100	user.hero_exp:51780	10	3850	100	100	100	100	100	user.salary:50	300	80	mine_digging|mine_trial|exploreTask	0	60	1
39	4900	2112	user.hero_exp:-4300	user.hero_exp:55880	10	3900	100	100	100	100	100	user.salary:50	300	80	mine_digging|mine_trial|exploreTask	0	60	1
40	14000	2400	user.hero_exp:-9200	user.hero_exp:60180	10	4050	100	100	100	100	100	user.salary:50	320	90	mine_digging|mine_trial|exploreTask	0	60	1
41	14400	2480	user.hero_exp:-9700	user.hero_exp:69380	10	4150	100	100	100	100	100	user.salary:50	320	90	mine_trial|exploreTask|altar3	0	60	1
42	15100	2560	user.hero_exp:-10400	user.hero_exp:79080	10	4250	100	100	100	100	100	user.salary:50	320	90	mine_trial|exploreTask|altar3	0	60	1
43	15500	2640	user.hero_exp:-10900	user.hero_exp:89480	10	4650	100	100	100	100	100	user.salary:50	320	90	mine_trial|exploreTask|altar3	0	60	1
44	16000	2720	user.hero_exp:-11500	user.hero_exp:100380	10	4700	100	100	100	100	100	user.salary:50	320	90	mine_trial|exploreTask|altar3	0	60	1
45	16600	2800	user.hero_exp:-12400	user.hero_exp:111880	10	4800	100	100	100	100	100	user.salary:50	340	90	mine_trial|exploreTask|altar3	0	60	1
46	17100	2880	user.hero_exp:-13000	user.hero_exp:124280	10	4900	100	100	100	100	100	user.salary:50	340	90	mine_trial|exploreTask|altar3	0	60	1
47	17800	2960	user.hero_exp:-13700	user.hero_exp:137280	10	5000	100	100	100	100	100	user.salary:50	340	90	mine_trial|exploreTask|altar3	0	60	1
48	18400	3040	user.hero_exp:-14300	user.hero_exp:150980	10	5050	100	100	100	100	100	user.salary:50	340	90	mine_trial|exploreTask|altar3	0	60	1
49	19000	3120	user.hero_exp:-14800	user.hero_exp:165280	10	5150	100	100	100	100	100	user.salary:50	340	90	mine_trial|exploreTask|altar3	0	60	1
50	19700	3200	user.hero_exp:-23400	user.hero_exp:180080	10	5250	100	100	100	100	100	user.salary:50	360	100	mine_trial|exploreTask|altar3	0	60	1
51	20400	3296	user.hero_exp:-24300	user.hero_exp:203480	10	7300	100	100	100	100	100	user.salary:50	360	100	exploreTask|altar3|tower	0	60	1
52	21100	3392	user.hero_exp:-25400	user.hero_exp:227780	10	7400	100	100	100	100	100	user.salary:50	360	100	exploreTask|altar3|tower	0	60	1
53	21800	3488	user.hero_exp:-26400	user.hero_exp:253180	10	7550	100	100	100	100	100	user.salary:50	360	100	exploreTask|altar3|tower	0	60	1
54	22500	3584	user.hero_exp:-27300	user.hero_exp:279580	10	7700	100	100	100	100	100	user.salary:50	360	100	exploreTask|altar3|tower	0	60	1
55	23200	3680	user.hero_exp:-28500	user.hero_exp:306880	10	7850	100	100	100	100	100	user.salary:50	380	100	exploreTask|altar3|tower	0	60	1
56	23900	3776	user.hero_exp:-29500	user.hero_exp:335380	10	8000	100	100	100	100	100	user.salary:50	380	100	altar3|tower	0	60	1
57	24900	3872	user.hero_exp:-30800	user.hero_exp:364880	10	8150	100	100	100	100	100	user.salary:50	380	100	altar3|tower	0	60	1
58	25600	3968	user.hero_exp:-31800	user.hero_exp:395680	10	8300	100	100	100	100	100	user.salary:50	380	100	altar3|tower	0	60	1
59	26300	4064	user.hero_exp:-32800	user.hero_exp:427480	10	8450	100	100	100	100	100	user.salary:50	380	100	altar3|tower	0	60	1
60	35100	4512	user.hero_exp:-46400	user.hero_exp:460280	10	8850	100	100	100	100	100	user.salary:50	400	110	altar3|tower	0	120	1
61	36700	4624	user.hero_exp:-48900	user.hero_exp:506680	10	9450	100	100	100	100	100	user.salary:50	400	110	tower	0	120	1
62	38400	4736	user.hero_exp:-51700	user.hero_exp:555580	10	10000	100	100	100	100	100	user.salary:50	400	110	tower	0	120	1
63	40000	4848	user.hero_exp:-54200	user.hero_exp:607280	10	10400	100	100	100	100	100	user.salary:50	400	110	tower	0	120	1
64	41800	4960	user.hero_exp:-57200	user.hero_exp:661480	10	10850	100	100	100	100	100	user.salary:50	400	110	tower	0	120	1
65	43500	5072	user.hero_exp:-61400	user.hero_exp:718680	10	11250	100	100	100	100	100	user.salary:50	420	110	tower	0	120	1
66	45500	5184	user.hero_exp:-64600	user.hero_exp:780080	10	11600	100	100	100	100	100	user.salary:50	420	110	tower	0	120	1
67	47100	5296	user.hero_exp:-69700	user.hero_exp:844680	10	12000	100	100	100	100	100	user.salary:50	420	110	tower	0	120	1
68	49200	5408	user.hero_exp:-73000	user.hero_exp:914380	10	12400	100	100	100	100	100	user.salary:50	420	110	tower	0	120	1
69	51000	5520	user.hero_exp:-76100	user.hero_exp:987380	10	12800	100	100	100	100	100	user.salary:50	420	110	tower	0	120	1
70	53100	5632	user.hero_exp:-99300	user.hero_exp:1063480	10	13150	100	100	100	100	100	user.salary:50	440	120	tower	0	120	1
71	55000	5760	user.hero_exp:-103000	user.hero_exp:1162780	10	18950	100	100	100	100	100	user.salary:50	440	120	tower	0	120	1
72	57300	5888	user.hero_exp:-108000	user.hero_exp:1265780	10	19600	100	100	100	100	100	user.salary:50	440	120	tower	0	120	1
73	59100	6016	user.hero_exp:-112000	user.hero_exp:1373780	10	20000	100	100	100	100	100	user.salary:50	440	120	tower	0	120	1
74	61500	6144	user.hero_exp:-117000	user.hero_exp:1485780	10	20400	100	100	100	100	100	user.salary:50	440	120	tower	0	120	1
75	63500	6272	user.hero_exp:-121000	user.hero_exp:1602780	10	20800	100	100	100	100	100	user.salary:50	460	120	tower	0	120	1
76	66100	6400	user.hero_exp:-126000	user.hero_exp:1723780	10	21200	100	100	100	100	100	user.salary:50	460	120	tower	0	120	1
77	68200	6528	user.hero_exp:-130000	user.hero_exp:1849780	10	21550	100	100	100	100	100	user.salary:50	460	120	tower	0	120	1
78	70700	6656	user.hero_exp:-135000	user.hero_exp:1979780	10	21950	100	100	100	100	100	user.salary:50	460	120	tower	0	120	1
79	73000	6784	user.hero_exp:-140000	user.hero_exp:2114780	10	28250	100	100	100	100	100	user.salary:50	460	120	tower	0	120	1
80	108000	7392	user.hero_exp:-193000	user.hero_exp:2254780	10	29400	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
81	110000	7536	user.hero_exp:-201000	user.hero_exp:2447780	10	29850	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
82	111000	7680	user.hero_exp:-209000	user.hero_exp:2648780	10	30550	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
83	113000	7824	user.hero_exp:-215000	user.hero_exp:2857780	10	30850	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
84	115000	7968	user.hero_exp:-223000	user.hero_exp:3072780	10	31150	100	100	100	100	100	user.salary:50	480	130	tower	0	120	1
85	116000	8112	user.hero_exp:-232000	user.hero_exp:3295780	10	31500	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
86	118000	8256	user.hero_exp:-240000	user.hero_exp:3527780	10	31800	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
87	120000	8400	user.hero_exp:-248000	user.hero_exp:3767780	10	32150	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
88	122000	8544	user.hero_exp:-259000	user.hero_exp:4015780	10	35300	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
89	124000	8688	user.hero_exp:-269000	user.hero_exp:4274780	10	35600	100	100	100	100	100	user.salary:50	500	130	tower	0	120	1
90	126000	8832	user.hero_exp:-286000	user.hero_exp:4543780	10	35900	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
91	128000	8992	user.hero_exp:-303000	user.hero_exp:4829780	10	37350	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
92	130000	9152	user.hero_exp:-315000	user.hero_exp:5132780	10	37650	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
93	132000	9312	user.hero_exp:-327000	user.hero_exp:5447780	10	37950	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
94	134000	9472	user.hero_exp:-341000	user.hero_exp:5774780	10	38200	100	100	100	100	100	user.salary:50	520	140	tower	0	120	1
95	136000	9632	user.hero_exp:-353000	user.hero_exp:6115780	10	38900	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
96	138000	9792	user.hero_exp:-368000	user.hero_exp:6468780	10	39150	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
97	140000	9952	user.hero_exp:-383000	user.hero_exp:6836780	10	39350	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
98	143000	10112	user.hero_exp:-398000	user.hero_exp:7219780	10	39600	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
99	144000	10272	user.hero_exp:-413000	user.hero_exp:7617780	10	39800	100	100	100	100	100	user.salary:50	540	140	tower	0	120	1
100	257000	11040	user.hero_exp:-425000	user.hero_exp:8030780	10	41300	100	100	100	100	100	user.salary:50	560	150	tower	0	120	1
101	266000	11216	user.hero_exp:-437000	user.hero_exp:8455780	10	54950	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
102	276000	11392	user.hero_exp:-449000	user.hero_exp:8892780	10	55600	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
103	286000	11568	user.hero_exp:-459000	user.hero_exp:9341780	10	56200	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
104	297000	11744	user.hero_exp:-471000	user.hero_exp:9800780	10	56800	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
105	309000	11920	user.hero_exp:-484000	user.hero_exp:10271780	10	57950	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
106	322000	12096	user.hero_exp:-498000	user.hero_exp:10755780	10	58550	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
107	334000	12272	user.hero_exp:-511000	user.hero_exp:11253780	10	60100	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
108	348000	12448	user.hero_exp:-527000	user.hero_exp:11764780	10	60700	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
109	364000	12624	user.hero_exp:-543000	user.hero_exp:12291780	10	61250	100	100	100	100	100	user.salary:50	560	150	0	0	120	1
110	379000	12800	user.hero_exp:-559000	user.hero_exp:12834780	10	61800	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
111	395000	12992	user.hero_exp:-574000	user.hero_exp:13393780	10	62350	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
112	413000	13184	user.hero_exp:-592000	user.hero_exp:13967780	10	62900	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
113	431000	13376	user.hero_exp:-611000	user.hero_exp:14559780	10	63500	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
114	451000	13568	user.hero_exp:-630000	user.hero_exp:15170780	10	65600	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
115	470000	13760	user.hero_exp:-649000	user.hero_exp:15800780	10	66100	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
116	491000	13952	user.hero_exp:-670000	user.hero_exp:16449780	10	66650	100	100	100	100	100	user.salary:50	560	160	0	0	120	1
