礼包ID(可乱序)	排序	开关状态（1:开启、0:关闭）	显示vip等级	红点显示（0:单次提示，1:循环显示）	所属页签	购买前置礼包	是否有后置礼包	触发前置条件	关闭条件	触发条件	触发条件参数	触发后生存时间	礼包名称	品质颜色	限购次数	次数显示（0:剩余，1:限购）	图标	奖励	支付类型(1:充值、2:道具花费)	充值ID	消耗道具	原价
id	sort	onoff	needvip	hint	belongingTab	giftBagLimit	giftBagRear	triggerLimit	closeLimit	triggerCondition	triggerVal	lifeTime	name	color	count	show	picture	rewards	costtype	recharge	item	original
Int	Int	Int	int	Int	Int	Int	Int	String	String	String	String	Int	String	String	Int	Int	String	Award	Int	Int	Award	Int
1	2	1	0	0	1	0	1	gameday.1	gameday.15	dayLoop	0	0	text_av_giftbag_name_1	purple.png	1	0	giftbag_1.png	user.vip_xp:60,user.bindcash:60,material.101601:1,user.htoken:1,material.1:150	1	10	0	0
11	2	1	0	0	1	0	1	gameday.15	0	dayLoop	0	0	text_av_giftbag_name_1	purple.png	1	0	giftbag_1.png	user.vip_xp:60,user.bindcash:60,material.101601:1,user.htoken:1,material.1:150	1	10	0	0
2	2	1	0	0	1	1	1	gameday.1	gameday.15	dayLoop	0	0	text_av_giftbag_name_2	orange.png	1	0	giftbag_2.png	user.vip_xp:120,user.bindcash:120,material.101602:1,user.htoken:1,material.1:300	1	11	0	0
12	2	1	0	0	1	11	1	gameday.15	0	dayLoop	0	0	text_av_giftbag_name_2	orange.png	1	0	giftbag_2.png	user.vip_xp:120,user.bindcash:120,material.101602:1,user.htoken:1,material.1:300	1	11	0	0
3	2	1	0	0	1	2	0	gameday.1	gameday.15	dayLoop	0	0	text_av_giftbag_name_3	red.png	1	0	giftbag_3.png	user.vip_xp:300,user.bindcash:300,material.101603:1,user.htoken:2,material.1:500	1	13	0	0
13	2	1	0	0	1	12	0	gameday.15	0	dayLoop	0	0	text_av_giftbag_name_3	red.png	1	0	giftbag_3.png	user.vip_xp:300,user.bindcash:300,material.101603:1,user.htoken:2,material.1:500	1	13	0	0
1010	21	0	0	1	1	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1110	blue.png	3	0	giftbag_1010.png	user.gold:2500000,user.htoken:3,material.101201:10	2	0	user.cash:-500	0
1011	22	0	0	1	1	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1110	blue.png	3	0	giftbag_1010.png	user.gold:4000000,user.htoken:3,material.101201:20	2	0	user.cash:-500	0
1020	23	0	0	1	1	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1120	purple.png	3	0	giftbag_1020.png	user.hero_exp:2500000,user.htoken:5,material.950:20	2	0	user.cash:-1000	0
1021	24	0	0	1	1	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1120	purple.png	3	0	giftbag_1020.png	user.hero_exp:4000000,user.htoken:5,material.950:40	2	0	user.cash:-1000	0
1030	25	0	0	1	1	0	0	gameday.1	0	weekLoop	1	0	text_av_giftbag_name_1130	orange.png	2	0	giftbag_1030.png	material.42:1,material.41:42000,material.100002:10	2	0	user.cash:-2500	0
1040	28	0	0	1	1	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1150	golden.png	1	0	giftbag_1040.png	user.bindcash:7500,material.950:60,material.940:120,material.930:200	2	0	user.cash:-5000	0
1041	29	0	0	1	1	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1150	golden.png	1	0	giftbag_1040.png	user.bindcash:7500,material.950:120,material.940:120,material.930:200	2	0	user.cash:-5000	0
1050	26	0	0	1	1	0	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1140	red.png	1	0	giftbag_1050.png	user.gold:10000000,user.hero_exp:20000000,material.1:5000	2	0	user.cash:-3500	0
1051	27	0	0	1	1	0	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1140	red.png	1	0	giftbag_1050.png	user.gold:20000000,user.hero_exp:40000000,material.1:7500	2	0	user.cash:-3500	0
1111	21	1	0	1	1	0	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1111	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,material.950:20,user.htoken:5	1	13	0	0
1112	22	1	0	1	1	1111	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1112	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,material.950:20,user.htoken:8	1	14	0	0
1113	23	1	0	1	1	1112	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1113	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,material.950:20,user.htoken:12	1	16	0	0
1114	24	1	0	1	1	1113	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1114	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,material.950:20,user.htoken:30	1	17	0	0
1115	25	1	0	1	1	1114	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1115	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,material.950:20,user.htoken:50	1	19	0	0
1121	26	1	0	1	1	0	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1111	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,material.950:20,user.htoken:5	1	13	0	0
1122	27	1	0	1	1	1121	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1112	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,material.950:20,user.htoken:8	1	14	0	0
1123	28	1	0	1	1	1122	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1113	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,material.950:20,user.htoken:12	1	16	0	0
1124	29	1	0	1	1	1123	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1114	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,material.950:20,user.htoken:30	1	17	0	0
1125	30	1	0	1	1	1124	0	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1115	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,material.950:20,user.htoken:50	1	19	0	0
1211	31	1	0	1	1	0	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1211	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,user.hero_exp:10000000,material.1:1500	1	13	0	0
1212	32	1	0	1	1	1211	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1212	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,user.hero_exp:20000000,material.1:2500	1	14	0	0
1213	33	1	0	1	1	1212	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1213	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,user.hero_exp:50000000,material.1:3500	1	16	0	0
1214	34	1	0	1	1	1213	1	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1214	red.png	2	0	giftbag_1050.png	user.vip_xp:3280,user.bindcash:3280,user.hero_exp:100000000,material.1:7500	1	17	0	0
1215	35	1	0	1	1	1214	0	gameday.1	gameday.15	weekLoop	1	0	text_av_giftbag_name_1215	golden.png	3	0	giftbag_1050.png	user.vip_xp:6480,user.bindcash:6480,user.hero_exp:200000000,material.1:12000	1	19	0	0
1221	36	1	0	1	1	0	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1211	purple.png	1	0	giftbag_1050.png	user.vip_xp:300,user.bindcash:300,user.hero_exp:10000000,material.1:1500	1	13	0	0
1222	37	1	0	1	1	1221	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1212	orange.png	2	0	giftbag_1050.png	user.vip_xp:680,user.bindcash:680,user.hero_exp:20000000,material.1:2500	1	14	0	0
1223	38	1	0	1	1	1222	1	gameday.15	0	weekLoop	1	0	text_av_giftbag_name_1213	orange.png	2	0	giftbag_1050.png	user.vip_xp:1280,user.bindcash:1280,user.hero_exp:50000000,material.1:3500	1	16	0	0
