任务类型	等级	1星奖励	2星奖励	3星奖励	4星奖励	5星奖励
type	level	award1	award2	award3	award4	award5
Int	Int2	Award	Award	Award	Award	Award
1	1	material.1:9,group.3001.0:5	material.1:10,group.3001.0:5	material.1:12,group.3001.0:5	material.1:16,group.3001.0:5	material.1:17,group.3001.0:5
1	11	material.1:9,group.3001.0:5	material.1:11,group.3001.0:5	material.1:12,group.3001.0:5	material.1:16,group.3001.0:5	material.1:18,group.3001.0:5
1	21	material.1:9,group.3001.0:5	material.1:11,group.3001.0:5	material.1:13,group.3001.0:5	material.1:17,group.3001.0:5	material.1:18,group.3001.0:5
1	31	material.1:9,group.3001.0:5	material.1:11,group.3001.0:5	material.1:13,group.3001.0:5	material.1:17,group.3001.0:5	material.1:19,group.3001.0:5
1	41	material.1:10,group.3001.0:5	material.1:12,group.3001.0:5	material.1:14,group.3001.0:5	material.1:18,group.3001.0:5	material.1:20,group.3001.0:5
1	51	material.1:11,group.3001.0:5	material.1:14,group.3001.0:5	material.1:16,group.3001.0:5	material.1:20,group.3001.0:5	material.1:23,group.3001.0:5
1	61	material.1:13,group.3001.0:5	material.1:16,group.3001.0:5	material.1:18,group.3001.0:5	material.1:23,group.3001.0:5	material.1:26,group.3001.0:5
1	71	material.1:16,group.3001.0:5	material.1:19,group.3001.0:5	material.1:22,group.3001.0:5	material.1:28,group.3001.0:5	material.1:31,group.3001.0:5
1	81	material.1:19,group.3001.0:5	material.1:22,group.3001.0:5	material.1:26,group.3001.0:5	material.1:33,group.3001.0:5	material.1:37,group.3001.0:5
1	91	material.1:20,group.3001.0:5	material.1:24,group.3001.0:5	material.1:28,group.3001.0:5	material.1:37,group.3001.0:5	material.1:41,group.3001.0:5
1	101	material.1:22,group.3001.0:5	material.1:27,group.3001.0:5	material.1:31,group.3001.0:5	material.1:40,group.3001.0:5	material.1:44,group.3001.0:5
1	111	material.1:24,group.3001.0:5	material.1:29,group.3001.0:5	material.1:34,group.3001.0:5	material.1:44,group.3001.0:5	material.1:48,group.3001.0:5
1	121	material.1:26,group.3001.0:5	material.1:31,group.3001.0:5	material.1:36,group.3001.0:5	material.1:47,group.3001.0:5	material.1:52,group.3001.0:5
1	131	material.1:27,group.3001.0:5	material.1:32,group.3001.0:5	material.1:38,group.3001.0:5	material.1:48,group.3001.0:5	material.1:54,group.3001.0:5
1	141	material.1:28,group.3001.0:5	material.1:33,group.3001.0:5	material.1:39,group.3001.0:5	material.1:50,group.3001.0:5	material.1:56,group.3001.0:5
1	151	material.1:29,group.3001.0:5	material.1:35,group.3001.0:5	material.1:40,group.3001.0:5	material.1:52,group.3001.0:5	material.1:58,group.3001.0:5
1	161	material.1:30,group.3001.0:5	material.1:36,group.3001.0:5	material.1:42,group.3001.0:5	material.1:54,group.3001.0:5	material.1:60,group.3001.0:5
1	171	material.1:31,group.3001.0:5	material.1:37,group.3001.0:5	material.1:44,group.3001.0:5	material.1:56,group.3001.0:5	material.1:62,group.3001.0:5
