天赋ID	提升属性	影响对象（1自己，2全体）	描述
id	att1	target	desc
Int	Int	Int	String
1	1	1	text_innateDesc_1
2	2	1	text_innateDesc_2
3	3	1	text_innateDesc_3
4	4	1	text_innateDesc_4
5	2	1	text_innateDesc_5
11	1	1	text_innateDesc_11
12	2	1	text_innateDesc_12
13	3	1	text_innateDesc_13
14	4	1	text_innateDesc_14
15	2	1	text_innateDesc_15
21	5	1	text_innateDesc_21
22	6	1	text_innateDesc_22
23	28	1	text_innateDesc_23
24	29	1	text_innateDesc_24
25	13	1	text_innateDesc_25
26	14	1	text_innateDesc_26
27	15	1	text_innateDesc_27
28	5	1	text_innateDesc_28
41	7	1	text_innateDesc_41
42	8	1	text_innateDesc_42
43	11	1	text_innateDesc_43
44	12	1	text_innateDesc_44
45	20	1	text_innateDesc_45
46	21	1	text_innateDesc_46
47	22	1	text_innateDesc_47
48	23	1	text_innateDesc_48
61	18	1	text_innateDesc_61
62	19	1	text_innateDesc_62
101	1	2	text_innateDesc_101
102	2	2	text_innateDesc_102
103	3	2	text_innateDesc_103
104	4	2	text_innateDesc_104
105	3	2	text_innateDesc_105
111	1	2	text_innateDesc_111
112	2	2	text_innateDesc_112
113	3	2	text_innateDesc_113
114	4	2	text_innateDesc_114
115	2	2	text_innateDesc_115
121	5	2	text_innateDesc_121
122	6	2	text_innateDesc_122
123	28	2	text_innateDesc_123
124	29	2	text_innateDesc_124
125	13	2	text_innateDesc_125
126	14	2	text_innateDesc_126
127	15	2	text_innateDesc_127
128	5	2	text_innateDesc_128
141	7	2	text_innateDesc_141
142	8	2	text_innateDesc_142
143	11	2	text_innateDesc_143
144	12	2	text_innateDesc_144
145	20	2	text_innateDesc_145
146	21	2	text_innateDesc_146
147	22	2	text_innateDesc_147
148	23	2	text_innateDesc_148
161	18	2	text_innateDesc_161
162	19	2	text_innateDesc_162
1001	0	0	0
1002	0	0	0
1003	0	0	0
