模板ID	模型ID	英雄名称	阵营(1-水，2-火，3-风，4-日，5-月，6星)	定位(1-物攻，2-法攻，3-防御，4-辅助)	基础品质	基础星级	基础攻击系数	基础防御系数	基础生命系数	基础速度系数	天赋组ID	技能组ID	技能效果名称1	技能效果描述1	技能效果名称2	技能效果描述2
id	modelId	heroName	camp	ability	quality	starBase	atkC	defC	hpC	speedC	innateGroup	skillGroupId	skillEffectName1	skillEffectDesc1	skillEffectName2	skillEffectDesc2
Int	Int	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Ints	String	String	String	String
201001	100100	text_heroName_1001	1	1	4	2	1	1	1	1	100100	100100	0	0	0	0
201002	100200	text_heroName_1002	1	1	4	2	1	1	1	1	100200	100200	0	0	0	0
201003	100300	text_heroName_1003	1	1	4	2	1	1	1	1	100300	100300	0	0	0	0
201004	100400	text_heroName_1004	1	1	4	2	1	1	1	1	100400	100400	0	0	0	0
201005	100500	text_heroName_1005	1	1	4	2	1	1	1	1	100500	100500	0	0	0	0
201006	100600	text_heroName_1006	1	1	4	2	1	1	1	1	100600	100600	0	0	0	0
201007	100700	text_heroName_1007	1	1	4	2	1	1	1	1	100700	100700	0	0	0	0
201008	100800	text_heroName_1008	1	1	4	2	1	1	1	1	100800	100800	0	0	0	0
201009	100900	text_heroName_1009	1	1	4	2	1	1	1	1	100900	100900	0	0	0	0
201010	101000	text_heroName_1010	1	1	4	2	1	1	1	1	101000	101000	0	0	0	0
202001	200100	text_heroName_2001	2	1	4	2	1	1	1	1	200100	200100	0	0	0	0
202002	200200	text_heroName_2002	2	1	4	2	1	1	1	1	200200	200200	0	0	0	0
202003	200300	text_heroName_2003	2	1	4	2	1	1	1	1	200300	200300	0	0	0	0
202004	200400	text_heroName_2004	2	1	4	2	1	1	1	1	200400	200400	0	0	0	0
202005	200500	text_heroName_2005	2	1	4	2	1	1	1	1	200500	200500	0	0	0	0
202006	200600	text_heroName_2006	2	1	4	2	1	1	1	1	200600	200600	0	0	0	0
202007	200700	text_heroName_2007	2	1	4	2	1	1	1	1	200700	200700	0	0	0	0
202008	200800	text_heroName_2008	2	1	4	2	1	1	1	1	200800	200800	0	0	0	0
202009	200900	text_heroName_2009	2	1	4	2	1	1	1	1	200900	200900	0	0	0	0
202010	201000	text_heroName_2010	2	1	4	2	1	1	1	1	201000	201000	0	0	0	0
203001	300100	text_heroName_3001	3	1	4	2	1	1	1	1	300100	300100	0	0	0	0
203002	300200	text_heroName_3002	3	1	4	2	1	1	1	1	300200	300200	0	0	0	0
203003	300300	text_heroName_3003	3	1	4	2	1	1	1	1	300300	300300	0	0	0	0
203004	300400	text_heroName_3004	3	1	4	2	1	1	1	1	300400	300400	0	0	0	0
203005	300500	text_heroName_3005	3	1	4	2	1	1	1	1	300500	300500	0	0	0	0
203006	300600	text_heroName_3006	3	1	4	2	1	1	1	1	300600	300600	0	0	0	0
203007	300700	text_heroName_3007	3	1	4	2	1	1	1	1	300700	300700	0	0	0	0
203008	300800	text_heroName_3008	3	1	4	2	1	1	1	1	300800	300800	0	0	0	0
203009	300900	text_heroName_3009	3	1	4	2	1	1	1	1	300900	300900	0	0	0	0
203010	301000	text_heroName_3010	3	1	4	2	1	1	1	1	301000	301000	0	0	0	0
204001	400100	text_heroName_4001	4	1	4	2	1	1	1	1	400100	400100	0	0	0	0
204002	400200	text_heroName_4002	4	1	4	2	1	1	1	1	400200	400200	0	0	0	0
204003	400300	text_heroName_4003	4	1	4	2	1	1	1	1	400300	400300	0	0	0	0
204004	400400	text_heroName_4004	4	1	4	2	1	1	1	1	400400	400400	0	0	0	0
204005	400500	text_heroName_4005	4	1	4	2	1	1	1	1	400500	400500	0	0	0	0
204006	400600	text_heroName_4006	4	1	4	2	1	1	1	1	400600	400600	0	0	0	0
204007	400700	text_heroName_4007	4	1	4	2	1	1	1	1	400700	400700	0	0	0	0
204008	400800	text_heroName_4008	4	1	4	2	1	1	1	1	400800	400800	0	0	0	0
204009	400900	text_heroName_4009	4	1	4	2	1	1	1	1	400900	400900	0	0	0	0
204010	401000	text_heroName_4010	4	1	4	2	1	1	1	1	401000	401000	0	0	0	0
205001	500100	text_heroName_5001	5	1	4	2	1	1	1	1	500100	500100	0	0	0	0
205002	500200	text_heroName_5002	5	1	4	2	1	1	1	1	500200	500200	0	0	0	0
205003	500300	text_heroName_5003	5	1	4	2	1	1	1	1	500300	500300	0	0	0	0
205004	500400	text_heroName_5004	5	1	4	2	1	1	1	1	500400	500400	0	0	0	0
205005	500500	text_heroName_5005	5	1	4	2	1	1	1	1	500500	500500	0	0	0	0
205006	500600	text_heroName_5006	5	1	4	2	1	1	1	1	500600	500600	0	0	0	0
205007	500700	text_heroName_5007	5	1	4	2	1	1	1	1	500700	500700	0	0	0	0
205008	500800	text_heroName_5008	5	1	4	2	1	1	1	1	500800	500800	0	0	0	0
205009	500900	text_heroName_5009	5	1	4	2	1	1	1	1	500900	500900	0	0	0	0
205010	501000	text_heroName_5010	5	1	4	2	1	1	1	1	501000	501000	0	0	0	0
206001	600100	text_heroName_6001	6	1	4	2	1	1	1	1	600100	600100	0	0	0	0
206002	600200	text_heroName_6002	6	1	4	2	1	1	1	1	600200	600200	0	0	0	0
206003	600300	text_heroName_6003	6	1	4	2	1	1	1	1	600300	600300	0	0	0	0
206004	600400	text_heroName_6004	6	1	4	2	1	1	1	1	600400	600400	0	0	0	0
206005	600500	text_heroName_6005	6	1	4	2	1	1	1	1	600500	600500	0	0	0	0
206006	600600	text_heroName_6006	6	1	4	2	1	1	1	1	600600	600600	0	0	0	0
206007	600700	text_heroName_6007	6	1	4	2	1	1	1	1	600700	600700	0	0	0	0
206008	600800	text_heroName_6008	6	1	4	2	1	1	1	1	600800	600800	0	0	0	0
206009	600900	text_heroName_6009	6	1	4	2	1	1	1	1	600900	600900	0	0	0	0
206010	601000	text_heroName_6010	6	1	4	2	1	1	1	1	601000	601000	0	0	0	0
301001	100100	text_heroName_1001	1	1	4	3	1	1	1	1	100100	100100	0	0	0	0
301002	100200	text_heroName_1002	1	1	4	3	1	1	1	1	100200	100200	0	0	0	0
301003	100300	text_heroName_1003	1	1	4	3	1	1	1	1	100300	100300	0	0	0	0
301004	100400	text_heroName_1004	1	1	4	3	1	1	1	1	100400	100400	0	0	0	0
301005	100500	text_heroName_1005	1	1	4	3	1	1	1	1	100500	100500	0	0	0	0
301006	100600	text_heroName_1006	1	1	4	3	1	1	1	1	100600	100600	0	0	0	0
301007	100700	text_heroName_1007	1	1	4	3	1	1	1	1	100700	100700	0	0	0	0
301008	100800	text_heroName_1008	1	1	4	3	1	1	1	1	100800	100800	0	0	0	0
301009	100900	text_heroName_1009	1	1	4	3	1	1	1	1	100900	100900	0	0	0	0
301010	101000	text_heroName_1010	1	1	4	3	1	1	1	1	101000	101000	0	0	0	0
302001	200100	text_heroName_2001	2	1	4	3	1	1	1	1	200100	200100	0	0	0	0
302002	200200	text_heroName_2002	2	1	4	3	1	1	1	1	200200	200200	0	0	0	0
302003	200300	text_heroName_2003	2	1	4	3	1	1	1	1	200300	200300	0	0	0	0
302004	200400	text_heroName_2004	2	1	4	3	1	1	1	1	200400	200400	0	0	0	0
302005	200500	text_heroName_2005	2	1	4	3	1	1	1	1	200500	200500	0	0	0	0
302006	200600	text_heroName_2006	2	1	4	3	1	1	1	1	200600	200600	0	0	0	0
302007	200700	text_heroName_2007	2	1	4	3	1	1	1	1	200700	200700	0	0	0	0
302008	200800	text_heroName_2008	2	1	4	3	1	1	1	1	200800	200800	0	0	0	0
302009	200900	text_heroName_2009	2	1	4	3	1	1	1	1	200900	200900	0	0	0	0
302010	201000	text_heroName_2010	2	1	4	3	1	1	1	1	201000	201000	0	0	0	0
303001	300100	text_heroName_3001	3	1	4	3	1	1	1	1	300100	300100	0	0	0	0
303002	300200	text_heroName_3002	3	1	4	3	1	1	1	1	300200	300200	0	0	0	0
303003	300300	text_heroName_3003	3	1	4	3	1	1	1	1	300300	300300	0	0	0	0
303004	300400	text_heroName_3004	3	1	4	3	1	1	1	1	300400	300400	0	0	0	0
303005	300500	text_heroName_3005	3	1	4	3	1	1	1	1	300500	300500	0	0	0	0
303006	300600	text_heroName_3006	3	1	4	3	1	1	1	1	300600	300600	0	0	0	0
303007	300700	text_heroName_3007	3	1	4	3	1	1	1	1	300700	300700	0	0	0	0
303008	300800	text_heroName_3008	3	1	4	3	1	1	1	1	300800	300800	0	0	0	0
303009	300900	text_heroName_3009	3	1	4	3	1	1	1	1	300900	300900	0	0	0	0
303010	301000	text_heroName_3010	3	1	4	3	1	1	1	1	301000	301000	0	0	0	0
304001	400100	text_heroName_4001	4	1	4	3	1	1	1	1	400100	400100	0	0	0	0
304002	400200	text_heroName_4002	4	1	4	3	1	1	1	1	400200	400200	0	0	0	0
304003	400300	text_heroName_4003	4	1	4	3	1	1	1	1	400300	400300	0	0	0	0
304004	400400	text_heroName_4004	4	1	4	3	1	1	1	1	400400	400400	0	0	0	0
304005	400500	text_heroName_4005	4	1	4	3	1	1	1	1	400500	400500	0	0	0	0
304006	400600	text_heroName_4006	4	1	4	3	1	1	1	1	400600	400600	0	0	0	0
304007	400700	text_heroName_4007	4	1	4	3	1	1	1	1	400700	400700	0	0	0	0
304008	400800	text_heroName_4008	4	1	4	3	1	1	1	1	400800	400800	0	0	0	0
