等级	速攻攻击	速攻防御	速攻生命	速攻速度	支援攻击	支援防御	支援生命	支援速度	妨害攻击	妨害防御	妨害生命	妨害速度	坦克攻击	坦克防御	坦克生命	坦克速度	回复攻击	回复防御	回复生命	回复速度	攻击攻击	攻击防御	攻击生命	攻击速度
level	atk1	def1	hp1	speed1	atk2	def2	hp2	speed2	atk3	def3	hp3	speed3	atk4	def4	hp4	speed4	atk5	def5	hp5	speed5	atk6	def6	hp6	speed6
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	288	100	2000	120	240	100	2400	100	240	100	2400	100	200	133.333	2700	90	288	90.909090909	2037.0349937	80	319.9992	100	1800.0045	70
2	300.8	104.44444444	2088.8888889	122.4	250.66666667	104.44444444	2506.6666667	102	250.66666667	104.44444444	2506.6666667	102	208.88888889	139.25891111	2820	91.8	300.8	94.949494949	2127.5698823	81.6	334.22138667	104.44444444	1880.0047	71.4
3	313.6	108.88888889	2177.7777778	124.8	261.33333333	108.88888889	2613.3333333	104	261.33333333	108.88888889	2613.3333333	104	217.77777778	145.18482222	2940	93.6	313.6	98.98989899	2218.1047709	83.2	348.44357333	108.88888889	1960.0049	72.8
4	326.4	113.33333333	2266.6666667	127.2	272	113.33333333	2720	106	272	113.33333333	2720	106	226.66666667	151.11073333	3060	95.4	326.4	103.03030303	2308.6396595	84.8	362.66576	113.33333333	2040.0051	74.2
5	339.2	117.77777778	2355.5555556	129.6	282.66666667	117.77777778	2826.6666667	108	282.66666667	117.77777778	2826.6666667	108	235.55555556	157.03664444	3180	97.2	339.2	107.07070707	2399.1745482	86.4	376.88794667	117.77777778	2120.0053	75.6
6	352	122.22222222	2444.4444444	132	293.33333333	122.22222222	2933.3333333	110	293.33333333	122.22222222	2933.3333333	110	244.44444444	162.96255556	3300	99	352	111.11111111	2489.7094368	88	391.11013333	122.22222222	2200.0055	77
7	364.8	126.66666667	2533.3333333	134.4	304	126.66666667	3040	112	304	126.66666667	3040	112	253.33333333	168.88846667	3420	100.8	364.8	115.15151515	2580.2443254	89.6	405.33232	126.66666667	2280.0057	78.4
8	377.6	131.11111111	2622.2222222	136.8	314.66666667	131.11111111	3146.6666667	114	314.66666667	131.11111111	3146.6666667	114	262.22222222	174.81437778	3540	102.6	377.6	119.19191919	2670.779214	91.2	419.55450667	131.11111111	2360.0059	79.8
9	390.4	135.55555556	2711.1111111	139.2	325.33333333	135.55555556	3253.3333333	116	325.33333333	135.55555556	3253.3333333	116	271.11111111	180.74028889	3660	104.4	390.4	123.23232323	2761.3141026	92.8	433.77669333	135.55555556	2440.0061	81.2
10	403.2	140	2800	141.6	336	140	3360	118	336	140	3360	118	280	186.6662	3780	106.2	403.2	127.27272727	2851.8489912	94.4	447.99888	140	2520.0063	82.6
11	426.24	148	2960	144	355.2	148	3552	120	355.2	148	3552	120	296	197.33284	3996	108	426.24	134.54545455	3014.8117907	96	473.598816	148	2664.00666	84
12	449.28	156	3120	146.4	374.4	156	3744	122	374.4	156	3744	122	312	207.99948	4212	109.8	449.28	141.81818182	3177.7745902	97.6	499.198752	156	2808.00702	85.4
13	472.32	164	3280	148.8	393.6	164	3936	124	393.6	164	3936	124	328	218.66612	4428	111.6	472.32	149.09090909	3340.7373897	99.2	524.798688	164	2952.00738	86.8
14	495.36	172	3440	151.2	412.8	172	4128	126	412.8	172	4128	126	344	229.33276	4644	113.4	495.36	156.36363636	3503.7001892	100.8	550.398624	172	3096.00774	88.2
15	518.4	180	3600	153.6	432	180	4320	128	432	180	4320	128	360	239.9994	4860	115.2	518.4	163.63636364	3666.6629887	102.4	575.99856	180	3240.0081	89.6
16	541.44	188	3760	156	451.2	188	4512	130	451.2	188	4512	130	376	250.66604	5076	117	541.44	170.90909091	3829.6257882	104	601.598496	188	3384.00846	91
17	564.48	196	3920	158.4	470.4	196	4704	132	470.4	196	4704	132	392	261.33268	5292	118.8	564.48	178.18181818	3992.5885877	105.6	627.198432	196	3528.00882	92.4
18	587.52	204	4080	160.8	489.6	204	4896	134	489.6	204	4896	134	408	271.99932	5508	120.6	587.52	185.45454545	4155.5513872	107.2	652.798368	204	3672.00918	93.8
19	610.56	212	4240	163.2	508.8	212	5088	136	508.8	212	5088	136	424	282.66596	5724	122.4	610.56	192.72727273	4318.5141867	108.8	678.398304	212	3816.00954	95.2
20	633.6	220	4400	165.6	528	220	5280	138	528	220	5280	138	440	293.3326	5940	124.2	633.6	200	4481.4769862	110.4	703.99824	220	3960.0099	96.6
21	668.16	232	4640	168	556.8	232	5568	140	556.8	232	5568	140	464	309.33256	6264	126	668.16	210.90909091	4725.9211854	112	742.398144	232	4176.01044	98
22	702.72	244	4880	170.4	585.6	244	5856	142	585.6	244	5856	142	488	325.33252	6588	127.8	702.72	221.81818182	4970.3653847	113.6	780.798048	244	4392.01098	99.4
23	737.28	256	5120	172.8	614.4	256	6144	144	614.4	256	6144	144	512	341.33248	6912	129.6	737.28	232.72727273	5214.8095839	115.2	819.197952	256	4608.01152	100.8
24	771.84	268	5360	175.2	643.2	268	6432	146	643.2	268	6432	146	536	357.33244	7236	131.4	771.84	243.63636364	5459.2537832	116.8	857.597856	268	4824.01206	102.2
25	806.4	280	5600	177.6	672	280	6720	148	672	280	6720	148	560	373.3324	7560	133.2	806.4	254.54545455	5703.6979824	118.4	895.99776	280	5040.0126	103.6
26	840.96	292	5840	180	700.8	292	7008	150	700.8	292	7008	150	584	389.33236	7884	135	840.96	265.45454545	5948.1421816	120	934.397664	292	5256.01314	105
27	875.52	304	6080	182.4	729.6	304	7296	152	729.6	304	7296	152	608	405.33232	8208	136.8	875.52	276.36363636	6192.5863809	121.6	972.797568	304	5472.01368	106.4
28	910.08	316	6320	184.8	758.4	316	7584	154	758.4	316	7584	154	632	421.33228	8532	138.6	910.08	287.27272727	6437.0305801	123.2	1011.197472	316	5688.01422	107.8
29	944.64	328	6560	187.2	787.2	328	7872	156	787.2	328	7872	156	656	437.33224	8856	140.4	944.64	298.18181818	6681.4747794	124.8	1049.597376	328	5904.01476	109.2
30	979.2	340	6800	189.6	816	340	8160	158	816	340	8160	158	680	453.3322	9180	142.2	979.2	309.09090909	6925.9189786	126.4	1087.99728	340	6120.0153	110.6
31	1025.28	356	7120	192	854.4	356	8544	160	854.4	356	8544	160	712	474.66548	9612	144	1025.28	323.63636364	7251.8445776	128	1139.197152	356	6408.01602	112
32	1071.36	372	7440	194.4	892.8	372	8928	162	892.8	372	8928	162	744	495.99876	10044	145.8	1071.36	338.18181818	7577.7701766	129.6	1190.397024	372	6696.01674	113.4
33	1117.44	388	7760	196.8	931.2	388	9312	164	931.2	388	9312	164	776	517.33204	10476	147.6	1117.44	352.72727273	7903.6957756	131.2	1241.596896	388	6984.01746	114.8
34	1163.52	404	8080	199.2	969.6	404	9696	166	969.6	404	9696	166	808	538.66532	10908	149.4	1163.52	367.27272727	8229.6213746	132.8	1292.796768	404	7272.01818	116.2
35	1209.6	420	8400	201.6	1008	420	10080	168	1008	420	10080	168	840	559.9986	11340	151.2	1209.6	381.81818182	8555.5469736	134.4	1343.99664	420	7560.0189	117.6
36	1255.68	436	8720	204	1046.4	436	10464	170	1046.4	436	10464	170	872	581.33188	11772	153	1255.68	396.36363636	8881.4725726	136	1395.196512	436	7848.01962	119
37	1301.76	452	9040	206.4	1084.8	452	10848	172	1084.8	452	10848	172	904	602.66516	12204	154.8	1301.76	410.90909091	9207.3981716	137.6	1446.396384	452	8136.0203401	120.4
38	1347.84	468	9360	208.8	1123.2	468	11232	174	1123.2	468	11232	174	936	623.99844	12636	156.6	1347.84	425.45454545	9533.3237706	139.2	1497.596256	468	8424.0210601	121.8
39	1393.92	484	9680	211.2	1161.6	484	11616	176	1161.6	484	11616	176	968	645.33172	13068	158.4	1393.92	440	9859.2493696	140.8	1548.796128	484	8712.0217801	123.2
40	1440	500	10000	213.6	1200	500	12000	178	1200	500	12000	178	1000	666.665	13500	160.2	1440	454.54545455	10185.174969	142.4	1599.996	500	9000.0225001	124.6
41	1497.6	520	10400	216	1248	520	12480	180	1248	520	12480	180	1040	693.3316	14040	162	1497.6	472.72727273	10592.581967	144	1663.99584	520	9360.0234001	126
42	1555.2	540	10800	218.4	1296	540	12960	182	1296	540	12960	182	1080	719.9982	14580	163.8	1555.2	490.90909091	10999.988966	145.6	1727.99568	540	9720.0243001	127.4
43	1612.8	560	11200	220.8	1344	560	13440	184	1344	560	13440	184	1120	746.6648	15120	165.6	1612.8	509.09090909	11407.395965	147.2	1791.99552	560	10080.0252	128.8
44	1670.4	580	11600	223.2	1392	580	13920	186	1392	580	13920	186	1160	773.3314	15660	167.4	1670.4	527.27272727	11814.802964	148.8	1855.99536	580	10440.0261	130.2
45	1728	600	12000	225.6	1440	600	14400	188	1440	600	14400	188	1200	799.998	16200	169.2	1728	545.45454545	12222.209962	150.4	1919.9952	600	10800.027	131.6
46	1785.6	620	12400	228	1488	620	14880	190	1488	620	14880	190	1240	826.6646	16740	171	1785.6	563.63636364	12629.616961	152	1983.99504	620	11160.0279	133
47	1843.2	640	12800	230.4	1536	640	15360	192	1536	640	15360	192	1280	853.3312	17280	172.8	1843.2	581.81818182	13037.02396	153.6	2047.99488	640	11520.0288	134.4
48	1900.8	660	13200	232.8	1584	660	15840	194	1584	660	15840	194	1320	879.9978	17820	174.6	1900.8	600	13444.430959	155.2	2111.99472	660	11880.0297	135.8
49	1958.4	680	13600	235.2	1632	680	16320	196	1632	680	16320	196	1360	906.6644	18360	176.4	1958.4	618.18181818	13851.837957	156.8	2175.99456	680	12240.0306	137.2
50	2016	700	14000	237.6	1680	700	16800	198	1680	700	16800	198	1400	933.331	18900	178.2	2016	636.36363636	14259.244956	158.4	2239.9944	700	12600.0315	138.6
